Yayyy! Me and my mom Got our new house???? ,New home purchase,golden_beauty16
#SPEECHLESS #BESTBIRTHDAYEVER #ENGAGED ???????????? ,Engagement,mygirlshirley
Very lucky to be #engaged to this gal..,Engagement,ji_fraser
#engaged #girlofmydreams,Engagement,ushanebolt2016
"Did I expect it? After 8 years, you damn well better believe I did. #happy #engaged #Colorado #wedding",Engagement,AndreaLAdams
Still can't believe this is real! ?? #engaged,Engagement,kelsey_frerichs
Its official ???? #engaged,Engagement,justin_pedone
I'm too excited to tell my parents tomorrow!!! ?????? #engaged #JUL28th2014,Engagement,janalynac
"Celebrating,  this beautiful gift my man has surprised me with .. I love u babyy! #engaged, cant believe it! #love",Engagement,StephanieeeL_
I guess twitter can know about our engagement too :) #engaged ,Engagement,brookedunning14
"Well today is a big day, got engaged to @bnheern #engaged #wedding",Engagement,J_spade529
"Well, it's official! cmilheron said she would be my best friend for life! We're engaged!! #engaged",Engagement,jake_a_karl
She's mine. All mine. #Engaged #LuckyMan christinarohan ,Engagement,timgerst
The new addition to the family. Ian Timothy McGrath. 6 pounds 15 ounces. 20 inches. What a cutie! ,New baby,paulisettle
The beautiful new addition to the family. I'm in love ?????,New baby,Ashly_aDUBB7
"new nephew , new addition to the family ???? Aiden Kheng Yu Wei! ",New baby,iSmilePerry
Last night my daughter got to meet the new addition to the family...her new wee sister,New baby,robfmac
So my parents are married again?? so happy for you guys! ,Marriage,Macenzi_22
"20 years ago TODAY, Marlene & I got married! Happy Anniversary to the most loving & understanding wife on earth I??U! ",Marriage,MikePortnoy
"Happy Anniversary babe! Love you @AmbroseOnStag.  "" I married my best friend "" July 27, 2002  #AnniversaryWeekend",Marriage,Skeelo_MusiK
35 years ago today I married my high school sweetheart. What a wonderful journey. Happy Anniversary @SharonRabon! ,Marriage,timrabon
About to have my first drive of my new baby :) woo! #driving #car #happy,New Car,TweetRSummers
I got a new car and I feel guilty about how happy it makes me. I'm squeezing every last bit of joy out of life over here!,New Car,hello_saylor
My new car arrived?? Thanks to Mercedes Nottingham,New Car,Lars_Veldwijk
"Avi? me n my lecture on my graduation day,I love this woman she motivated me and treated me like a daughter. ",Completion of education,oboitshepo_
Graduation day with my sweet friends. (I hate them) ,Completion of education,eriley21
Graduation Day ??,Completion of education,DancyNancy1
Proudest day of my life today #graduation,Completion of education,samgoody1991
Proud fiancé status! Sarah's graduation day! #boss,Completion of education,webb88ben
Had a great day at my MSc Graduation today! Many thanks to @Carnegie_Sport @AndrewAbraham11 for their support! ,Completion of education,Welburn1
I did it!! Wahoo what an amazing day for graduation @LiverpoolHopeUK ,Completion of education,jennyysullivan
"The big day is over, weather was perfect, congratulations me #Graduation",Completion of education,_Aaron_Anthony_
Graduation complete! Absolute cracking day with family and friends! Now time for a well deserved holiday :) ,Completion of education,FeaRTog
"My daughter's graduation day, Master of Chemical Engineer, beauty and brains do go together; Anglo-Somalian girl. ",Completion of education,samiyalerew
"It was a good day, and I can't thank my family enough for all the support.  ?? #graduationday #knowledgeispower ",Completion of education,DJOPUK
I had the most amazing day yesterday for my graduation!! ,Completion of education,ASOS_Megan
I could have burst with pride yesterday… graduation day for my daughter @miss_stjohnx #ProudMummy #yesimboosting,Completion of education,sharonstjohnny2
I've got promoted at work today!  #Thankful #jobpromotion #HardWorkPaysOff,Promotion,Sakerooo
A toast to a start of a good year!!!! Thank you god! Thank you family! Thank you friends! #mybday #jobpromotion! ,Promotion,IntelliBusness2
So happy I got the job !!!! Retail supervisor at Primark !! #newjob#supervisor#retail#primark ,New Job,RihRihsBoy
It's official ! Got my Contract with Universal Music. #NewJob #newbeginnings #Excited ????????,New Job,ChaniceCameron
Can't believe I did it !!! All moved into Liverpool ready for my job on Monday :D #excited #newjob ,New Job,Shauna_c_jones
My new little bundle of joy #prouddad,New child,2tonnbuff
"Introducing my wonderful new bundle of joy,my other little lady, the second to the last of children I… ",New child,DJPhillie04
My new bundle of joy? She really is a miracle ??,New child,a_kadaby
Couldnt be happier with our new little bundle of joy! Grady David Green. #9'2 #dman or #powerforward,New child,Greenytim10
"So grateful for our new bundle of joy, Josie!  #blessed ",New child,Jesstajames
My new little bundle of joy?? siremm yesss??????,New child,melinnnaaaa
I still can't believe it?? #justgotengaged,Engagement,cheese_bErger
She said YES!!! #gotengaged to the love of my life @brittanyweens #proposalsuccess #thankstoall,Engagement,CHEFKLA
We did it!!! #DanielleAndRandall #JustMarried,Marriage,MissDMcG
Almost moved in ?? #newhouse #finally,New home purchase,Cadi_80
"It's official..., this is mine and James' new house. Absolutely ecstatic. #newhouse #newstart",New home purchase,RochellexLx
"Crappy pictures and barely any decor, BUT living room and kitchen! I'll post more pictures after dinner ???? #NewHouse ",New home purchase,BriannaIsabel_
"we lost everything we had but at the same time, we gained everything we ever needed #newhouse #housefire ",New home purchase,openupsayrah
Me and the fella finally moved in to our new house today. About time! #newhouse #movingonup,New home purchase,Br00zR
today's the day???? #newhouse,New home purchase,vicsimoneau
It's official! @nabbott27 and I have bought a house! #newhouse #firsthouse,New home purchase,sophielbradley
It finally happened… We bought a home :) #homeowners #newhouse ,New home purchase,wearenotmartha
"Had 2 interviews today, got one of them and find out about the other one tomorrow ?????? #newjob #newchallenge #bringit",New job,melissaxwilson1
Good Vibes Monday ??#justgotpromoted ?????? *Photos from the Video of the song ??,Promotion,kokaWahine
3 days to go ! My life is about to change #MyWedding #Countdown,Marriage,7amadabsi
tomorrow is the big day???? #mywedding ??????,Marriage,I3elieI3ermom
my great grandmother passed away tonight. I will miss you. please pray for my family. ???? #ripgranny,Death of family member,MadisonMaeParks
I am so not ready for this funeral Friday. It's just so hard believing you gone. RipGranny King,Death of family member,yendiS__
Never Thought I'd See The Day But God Called Home The Strongest Woman I Know #ripgranny ????,Death of family member,_blessed_23
She's all mine! #newride #newcar #fordfiesta #floodreplacement #carpaymentshavereturned @ Jersey City,New car purchase,JaclynMuns
My very first car!! Justin Timberlake was the first thing on the radio and In-n-Out was my first stop! #newride #Cher ,New car purchase,laughandsing
I NO LONGER HAVE TO SHARE A CAR all thanks to the best dad out there. love ya pops. #newride #bestdad,New car purchase,ryankader
Big thanks to my parents for the early graduation gift! #NewRide #JeepCherokeeTrailhawk ,New car purchase,LGualano1236
A few hours at work then I'm hitting the road! #soexcited #graduationday,Completion of education,lifeofsprinkles
Graduation day today! Think my dad was enjoying himself more than me last night! #GraduationDay,Completion of education,BenOnCapital
Nothing was better then the day we watched our big brother get married ?????? @omgg_nouis,Marriage,_wildcurls
"This is my new bundle of joy born on July 23, 2014. Thank you to those who showed your love with gifts",New child,cleanheartd
"I'm so inlove with you already Romeo ?? My new bundle of joy, i can't express how I was so blessed to have the most beautiful nephews i could have ever asked for. I can't wait to find out the little things that you do, what your voice will sound like saying my name and so much more.Thank you God for making sure everything went so good last night ????",New child,_NatalieeBooo
I love you my little bundle of joy! ,New child,mewitzz
"My Bundle Of Joy has arrived July , 13, 2014 ???? ja'cionne you mean the world to me ????",New child,RichHomie_Cash
Expecting my bundle of joy ??????,New child,suuunkissed
my bundle of joy ??? he mean so much And I'm so thankful that he in my life ??????saa I love you ????Son,New child,__pinkhaze
Heres my bundle of joy we thought was a girl but surprised us by being a little boy :) ,New child,stigatle
"Attention my little liars, I am excited to announce that me and my husband are expecting a little bundle of joy!!! ",New child,Spencer_Toby_
woke up with a heavy heart #RipGranddad,Death of family member,BodybagChubbs
rip to the love of my life #ripgranddad ??,Death of family member,BeeOffTheWalls
"i bought a house and the sale is finally ""pending""! Hooray, onto great new things!",New house ,biallasamantha
Bought a new house. Woke up before the housewarming party. ,New house,Gotham3
Bought a new car today and even got a bow! Nicola didn't know till we picked it up! Mini Suprise!,New car purchase,Lee_Howdle
Bought a brand new car wearing gym shorts and ugg slippers nbd ,New car purchase,Rock
Finally got rid of the wagon and bought a new car! It's even got a DVD player in back for roni :) I love it ,New car purchase,morganmcfalls
Just Bought My Mum A New Car.... I know she deserves much more ??????,New car purchase,HuntaHYG
WE BOUGHT A NEW CAR TODAY!!!! @Lexus :) We're happy kids. @calebgrimm Also...3 weeks from TODAY! #grimmwedding2014 ,New car purchase/Marriage,KelseySowards
I have two completely different lives when I'm with my dad and when I'm with my mom #divorcesucks,Divorce,RachelBellio10
Why can't I have a normal family? #DivorceSucks,Divorce,JordiBlairr
"Thank you for the condolence messages as a family we holding up and though hard, we have to accept. #RIPUncle",Death of family member,Lesuuda
"While I'm getting ready , I heard some bad news , then I cried ??#RIPUNCLE ??",Death of family member,dimplesnguyen
Rip Satish uncle You were an amazing person It's a great loss to us You'll be missed,Death of family member,ApoorvaShekhar
Yay for getting a new job ????,New job,kkkleilaa
Yay for new shoes & scrubs for my new job ;p,New job,lexilove313
1st day of training for my new position. I'm so happy and excited to be moving up in a job I absolutely love.,Promotion,jazjoeydonee
So excited for orientation at my new job today! More excited to see @despicable_aj after????,New job,Engling22
I'm so excited for my new job. I had a moment because I realized I'm actually getting to do something worthwhile and something I love (:,New job,MissMayaaaa
thought I'd drop by and tell twitter I'm engaged to the best man ever and the love of my life ????????????,Engagement,MissLibbaayy
