tweet,category
Found my dream dres and I cant wait to mary my best friend #isaidyes #weding #engaged #yestothedres,irrelevant - marriage
RT @grahams24: So hapy for my brother and son to be sister in law #Engaged htp://t.co/Dvq4lV2YXx,irrelevant - marriage
Found it today We cried and cried Cant wait to mary my best friend #engaged #051515    htp://t.co/opjDPx6yfk,irrelevant - marriage
So hapy for my brother and son to be sister in law #Engaged htp://t.co/Dvq4lV2YXx,irrelevant - marriage
Mailing the #weding #invitations Cant wait for everyone to se how #gorgeous they are #engaged    htp://t.co/KfOfq1Q2bC,irrelevant - marriage
#engaged,irrelevant - marriage
RT @mwhit_15: Im the luckiest girl alive #sohapy #engaged htp://t.co/QvazXRhb9t,irrelevant - marriage
I know its totaly cliche but had to take a pic of the bling         #engaged htp://t.co/o14G1W1y9z,irrelevant - marriage
I cant wait to spend the rest of my life with this guy #engaged #fianc   #love #forever htp://t.co/HdYHgZ5Fte,irrelevant - marriage
RT @NicoleH98: @ShelbyListon_ &amp; I saw Jeremiah the lifeguard and I had to propose             #engaged #WhatAreTheOds,irrelevant - marriage
@ShelbyListon_ &amp; I saw Jeremiah the lifeguard and I had to propose             #engaged #WhatAreTheOds,irrelevant - marriage
Thank you Julia for sending in your beautiful weding Photos -a very special day #Engaged #weding #couture... htp://t.co/S4wryo9NqQ,irrelevant - marriage
RT @DYFanatics:    @FeistyMoma: Congratulations @iamdongdantes and Marian Rivera #engaged #dongyan htp://t.co/pZwEEQAJd1   ,irrelevant - marriage
RT @wedocracy: Meting such col #engaged couples. Congrats to you Great to have a #grom in the house    htp://t.co/RsguESbn1f,irrelevant - new home purchase
RT @jackiebe4: ah congrats @JosephKremer3 &amp; @JSCX1890  so so so hapy for you two :) #engaged,irrelevant - marriage
RT @wedocracy: Meting such col #engaged couples. Congrats to you Great to have a #grom in the house... htp://t.co/vlM6fmR7ay htp://t.   ,irrelevant - new home purchase
RT @wedocracy: Meting such col #engaged couples. Congrats to you Great to... htp://t.co/EzWmRdWTic htp://t.co/1vq7d5kYxj,irrelevant - marriage
RT @wedocracy: Meting such col #engaged couples. Congrats to you Great to... htp://t.co/LsYJUbMlp7 htp://t.co/tI8oqVEkpq,irrelevant - marriage
RT @Georgieharv: ANNOUNCE IT ANNOUNCE IT #engaged #zalfie @ZozeBo @PointlesBlog,irrelevant - marriage
Gorgeous day with these beauties #bestfriendsengagment #engaged #engagement #bride #bridetobe    htp://t.co/Ssr6ZpaAVO,irrelevant - marriage
Fresh Ideas For Weding Music - #engaged #getingmaried  htp://t.co/qH6PujMy2D,irrelevant - new job
#engaged #RuberBandRing #sorta #NotTrueButFuny #RedundantHashtags # htp://t.co/0nzusvOEa9,irrelevant - marriage
So hapy for my beautiful best friend sjhobs22 #weding #engaged #love #girls #instacolage htp://t.co/PhUv7PoBS0,irrelevant - marriage
Mabrok @MorisIshay and Sylvia #engaged,irrelevant - marriage
I said yes #engaged @SethRolins1RP htp://t.co/sx34LP1TVk,irrelevant - marriage
ANNOUNCE IT ANNOUNCE IT #engaged #zalfie @ZozeBo @PointlesBlog,irrelevant - new job
Meting such col #engaged couples. Congrats to you Great to... htp://t.co/LsYJUbMlp7 htp://t.co/tI8oqVEkpq,irrelevant - marriage
Meting such col #engaged couples. Congrats to you Great to... htp://t.co/EzWmRdWTic htp://t.co/1vq7d5kYxj,irrelevant - marriage
             #engaged #fiance #relationship #hapy #lovedup #ring #him #love #mr #londoneye #bournemouth #02    htp://t.co/Xb5yG6Fue5,irrelevant - marriage
#MyPerfection #MySoldier #Engaged #InLove #HapilyEverAfter htp://t.co/Wn4zVla6e4,irrelevant - new job
Meting such col #engaged couples. Congrats to you Great to have a #grom in the house... htp://t.co/vlM6fmR7ay htp://t.co/zke5oJp9ML,irrelevant - new home purchase
You light up my world..... Olamide + Sam #engaged #augustwedings #gazmaduwedings #gazmaduphotography... htp://t.co/yRKUV2TPvY,irrelevant - marriage
ah congrats @JosephKremer3 &amp; @JSCX1890  so so so hapy for you two :) #engaged,irrelevant - marriage
"@RKaedB: It al started with a retwet and a folow. Twiter conects people. #love #engaged htp://t.co/OzB56Gzu4P",irrelevant - marriage
Meting such col #engaged couples. Congrats to you Great to have a #grom in the house    htp://t.co/RsguESbn1f,irrelevant - new home purchase
4 years ago today                 #paris #engaged htp://t.co/fNJb37dxcV,irrelevant - marriage
Engagement Photos by Dav Ford Photography - 2014. #love #engaged #hapy htp://t.co/Gcz3Ju186Z,irrelevant - marriage
RT @FeistyMoma: My eyes are to pufy from crying and no amount of white eyeliner is going to fix it              #DongYan #engaged htp://t.co/ZAi   ,irrelevant - marriage
   @FeistyMoma: Congratulations @iamdongdantes and Marian Rivera #engaged #dongyan htp://t.co/pZwEEQAJd1   ,irrelevant - marriage
Two of my favorite people share an important moment. #Engaged #GodInThisMix htp://t.co/ik3RboCE8S,irrelevant - marriage
They always say that diamonds are a girls best friend which one is yours  #sparkle #engaged #ring    htp://t.co/dhkNEFOIG7,irrelevant - marriage
me &amp; @camerondalas are geting maried             ,irrelevant - marriage
RT @CraigSarnak: Talking about homecoming now is like being that girl that talks about geting maried and having kids after the first date,irrelevant - marriage
People are talking about me geting maried.,irrelevant - marriage
RT @anthony_prep: i want my friends to start geting maried. those wedings wil be a blast and lord knows Im not trying to get maried a   ,irrelevant - marriage
Talking about homecoming now is like being that girl that talks about geting maried and having kids after the first date,irrelevant - marriage
RT @johnchese: Geting maried @DuckysBridal has everything you ned for the perfect weding. Unles youre Mexican. We have the right to   ,irrelevant - marriage
Me and Cam are geting maried,irrelevant - marriage
Its always a bit weird and funy when I se a girl who blew me geting maried. #slopyseconds,irrelevant - marriage
So my parents aproved of jacob and I geting maried so.....,irrelevant - marriage
Dariele cum his sily self ova here teling my family we geting maried      cuz he came 2 c me while Im sick          ,irrelevant - marriage
By the logic of that 1h thread Soyoung must be planing on geting maried bc she has ben absent the most from group events thus far,irrelevant - marriage
I se people geting maried at the age of 18 nah wait until you gota start paying bils and raising kids now thats the real test,irrelevant - marriage
@yanisher amount of people in NJ who thought I was geting maried in the samuh lagna... Chil out Indian aunties,irrelevant - marriage
RT @actual_makokoro: @Swimer_Haru rins geting maried to me confirmed #makoharuweding,irrelevant - marriage
"So I put you in my "were never geting maried" file".  My tweps you are to young for that file relax.,irrelevant - marriage
@KeganAlen we are geting maried just wanted you to know     ,irrelevant - marriage
@GingerSergeant Eugene chuckles softly a few times "Just...wel us geting maried.",irrelevant - marriage
Andi Dorfman &amp;amp; Josh Muray: Geting Maried May 9 htp://t.co/0lkC9tk8sz  #AndiDorfman #bit #TV #weding,irrelevant - marriage
i want my friends to start geting maried. those wedings wil be a blast and lord knows Im not trying to get maried any time son,irrelevant - marriage
The girl of my dreams is geting maried and every time I se her sparks fly Of course its 4th of July when I se her - Tyler Larson         ,irrelevant - marriage
@camerondalas were you guys geting maried or something htp://t.co/omzYj6IitJ,irrelevant - marriage
So my bestfriend from 8th grade is geting maried this wekend WHAT is life.,irrelevant - marriage
tyler posey and I are geting maried,irrelevant - marriage
@Swimer_Haru rins geting maried to me confirmed #makoharuweding,irrelevant - marriage
Andi Dorfman and Josh Muray: Were Geting Maried on TV htp://t.co/x1w2lUNava  #AndiDorfman #couple #JoshMuray #nuptials,irrelevant - marriage
RT @juliepisarski: the idea of geting maried and coming home to the one person you love everyday sothes me,irrelevant - marriage
RT @GoldAlpinas_: @Tati_Thugem_ oh we already geting maried i done put you on lay away          i gota put my money down         ,irrelevant - marriage
if shailene wodley and ansel elgort dont end up geting maried I give up on life,irrelevant - marriage
Desire Hartsock and Chris Siegfried: Geting Maried in January -  was held in Holywod last wekend and upon... htp://t.co/1TriDzoWwE,irrelevant - marriage
I can definitely se myself geting maried sometime within the next 5 years.,irrelevant - marriage
Dolys engagement party Super elated that my best friends geting maried      htp://t.co/lwAiKL9zTK,irrelevant - marriage
   @hangingsliders: Game. Changer. htp://t.co/Noms6qGT8F    This is the exact reason my wife gave for geting maried. Shes model of health,irrelevant - marriage
It should be compulsory to read this before geting maried. Insightful shit. htp://t.co/46QGD8jCfV,irrelevant - marriage
Can everyone stop geting maried now K thanks.,irrelevant - marriage
@Odve I WANTED JINKI BUT ITS OK I LIKE MINHO TOO I GOT MINHOS PHOTOCARD SO IT MUST MEAN SOMETHING LIKE THAT WERE GETTING MARRIED IDK,irrelevant - marriage
At this weding w my family and me my brother and Leslie dont know the people geting maried but were in every picture lmao,irrelevant - marriage
Camerons to famous  Im never geting maried,irrelevant - marriage
Thankful @chastainyager caught the bouquet and tok some of the presure of of people asking if I was next geting maried      #ShesNext,irrelevant - marriage
So @DragonLorde and I are geting maried now xP,irrelevant - marriage
@Tati_Thugem_ oh we already geting maried i done put you on lay away          i gota put my money down         ,irrelevant - marriage
RT @hpb777: Geting maried for love is why I cant have nice things.,irrelevant - marriage
soyoungs not there so shes the one geting maried lmao,irrelevant - marriage
Nanys watching say yes to the dres and glaring at me like are you ever geting maried,irrelevant - marriage
Geting maried in two days I hope al the litle bits and pieces of this weding come together and it goes smothly :),irrelevant - marriage
So hapy for my uncle       Geting maried now going to be a dady         Where does time go,irrelevant - marriage
Omg ges geting maried             ,irrelevant - marriage
RT @michaelirvin88: My boy Reshawn geting #maried right now. Lok at this NE-GRO Jacket on his #WEDDING DAY LOL.......BROTHERS htp://t   ,irrelevant - marriage
Someone is literaly up here geting maried at stel lake ... I mean.. I gues. Wouldnt be MY first choice but who am I     ,irrelevant - marriage
My uncle just said Im great with kids and loked at me with that "when are you geting maried" lok HAHAHAHAHAH STAWP FAM,irrelevant - marriage
@ashleydyckman12 obviously although he doesnt know it yet but me and him are geting maried                 ,irrelevant - marriage
@jeralcy_ wait....hes not geting maried. I meant have a hapy life. Lol.,irrelevant - marriage
*ses comercial* Me: "My weding dance is gona be that awesome." Mom: "Lol youre not geting maried." #thxmum,irrelevant - marriage
RT @ashleydyckman12: @donabost14 agred. Like no bitch. Cam and I obviously are geting maried,irrelevant - marriage
Jacobs in the Chicago area  Im in the Chicago area Its fate Were geting maried,irrelevant - marriage
Geting maried when I make 21         ,irrelevant - marriage
@donabost14 agred. Like no bitch. Cam and I obviously are geting maried,irrelevant - marriage
the idea of geting maried and coming home to the one person you love everyday sothes me,irrelevant - marriage
RT @Curse__tin3: Im not geting maried if its not going to be a mariage like my parents. They are stil so in love after 25 years.,irrelevant - marriage
"Kelsie I know youre not geting maried but can you make sure your house is 2 bedroms so I have somewhere to slep" Thanks Cred.,irrelevant - marriage
Se this is why I love Rory.... And were geting maried.,irrelevant - marriage
RT @zharif: people at my age are geting maried.here I am siting and thinking about my gradeshow to get money for every semesterand ab   ,irrelevant - marriage
@AliOficialUK My thoughts are with the ones who wil be geting maried on their holiday... lol,irrelevant - marriage
RT @Whitesiderz: Jacob is the funiest human on the planet. We are geting maried. Sory not sory,irrelevant - marriage
Im at that age where people from high schol are geting maried or having kids then on the news for throwing those kids over clifs. #WTF,irrelevant - marriage
@Emily_Jane True             so are we geting maried now or...,irrelevant - marriage
Im not geting maried if its not going to be a mariage like my parents. They are stil so in love after 25 years.,irrelevant - marriage
RT @TheMaeLynEfect: Is this song about being rude or geting maried I cant tel,irrelevant - marriage
"@MarvelYoung_ My bro and his fianc   reinforce my wilingnes to stay the fuck away from felings" Why are they geting maried then,irrelevant - marriage
Me &amp; Jacob Are Geting Maried Guys  Back Of bc He Doesnt Know It Yet okay okay      @JacobWhitesides,irrelevant - marriage
Jacob is the funiest human on the planet. We are geting maried. Sory not sory,irrelevant - marriage
Zac when are we geting maried ,irrelevant - marriage
Walahi iIm geting maried,irrelevant - marriage
YALI aside. When are you planing on geting maried     When I get a job &amp; a woman wiling to mary me htp://t.co/YDmDJ0iUbs,irrelevant - marriage
@RHONJTwins please dont rush geting maried over sily rude judgments from anyone else. Its your busines. Mariage is to serious.#RHONJ,irrelevant - marriage
Aparently I am geting Maried... YUS &lt;3,irrelevant - marriage
I dont think she knows it but me and   @julianehough are geting maried.,irrelevant - marriage
Im sick of how in novelas the end is always them geting maried thats not how reality works.,irrelevant - marriage
   @IamKisha_:    @MsUnique221: I cant take you serious if you got engaged today and geting maried Tuesday.......                       dont judge me                       ,irrelevant - marriage
Worst busines decision you can make is geting maried. Shel divorce you and take half of everything.,irrelevant - marriage
"@DumbSportsFan: Loks like this guy is straight up NEVER geting maried. #DumbSportsFans htp://t.co/IZJGev6IVA" @CaptainMerica10,irrelevant - marriage
@sony_sk cuz we geting maried,irrelevant - marriage
@roxy_thecat Jef: Toby is geting maried and so is dusk,irrelevant - marriage
WHENS ANTHONY AND KALEL GETTING MARRIED,irrelevant - marriage
   @MsUnique221: I cant take you serious if you got engaged today and geting maried Tuesday.......                       dont judge me,irrelevant - marriage
I am crying  Best news of my sumer @alexisreimer  MY GIRLS GETTING MARRIED      #itslikemyweding #wehavebendreaming #congrats,irrelevant - marriage
RT @shahenakhatun: So many people I know are geting maried this year,irrelevant - marriage
RT @brit_hagerty2: so cam when are we geting maried @camerondalas,irrelevant - marriage
RT @Iaughatmypain: whats stoping us from geting maried   oh right ur a chicken nuget,irrelevant - marriage
RT @PsykoUK: If any female presurised me into geting maried this is the suit Il wear. htp://t.co/4ikUhOTgUn,irrelevant - marriage
my friends childhod best friend is geting maried at 19,irrelevant - marriage
   @PsykoUK: If any female presurised me into geting maried this is the suit Il wear. htp://t.co/9jE4ylvbyw     Im spining     ,irrelevant - marriage
Everybody on Facebok geting maried,irrelevant - marriage
@BarneyStinsonHI wel unles it was a couple of litle people geting maried cuz there the size of half people so.it makes 1 whole person,irrelevant - marriage
RT @courtneyjvance: People my age are geting maried and Im over here like....,irrelevant - marriage
RT @misclarisan: I used to have that biter Im never geting maried atitude but now I actualy lok forward to the day when I have   ,irrelevant - marriage
Alisha at her bridal shower:  "Laina when are you geting maried"  "I havent had a boyfriend since sophomore year" "Right you suck at that",irrelevant - marriage
RT @Amerguapo: Meagan God made a huge mistake geting maried... She never got the chance to met me smh.. Whelp I gues its time to jus   ,irrelevant - marriage
@koridekay her and chris geting maried,irrelevant - marriage
RT @postage27: You dont know me @Taylor_Michael3 but Im engaged to @KatieDunzo and Ive heard a lot about you and youre now my favorite   ,irrelevant - marriage
Are you single     No Im engaged htp://t.co/tuMszonmd4,irrelevant - marriage
@LuxuriousDancer Dont kil por old Owain. Im engaged htp://t.co/weEcTaG9q3,irrelevant - marriage
RT @xmeganejx: I swear when Im engaged Im going weding dres shoping by myself #opinionatedfamily,irrelevant - marriage
I also get super pised of because she knows Im engaged and stil did it.,irrelevant - marriage
@NxthingSpecial Im engaged     ,irrelevant - marriage
Im engaged to probably the colest #ZTA alumn yals performance was awesome htp://t.co/jz10ic48ob,irrelevant - marriage
@mdahlia27 Ooph. My family is ofd about dating so we just kind of ignore it unles Im engaged. Im sory she reacted that way. :/,irrelevant - marriage
@ShineDoitsu Im engaged,irrelevant - marriage
In our curent economy so many people ned help Wouldnt you help them if you   could Im engaged with a... htp://t.co/AiHrB7CgDD,irrelevant - marriage
I swear when Im engaged Im going weding dres shoping by myself #opinionatedfamily,irrelevant - marriage
@mika__ Im engaged bitch,irrelevant - marriage
@ImTOBAEsGF Because Im engaged... To Masky..,irrelevant - marriage
@DPHENDRIXX Oh hel yeah bruh on FB smh man girls be in my inbox. Know damn wel they know Im engaged to but dont give a fuck.,irrelevant - marriage
EVERYONE Im engaged :-) htp://t.co/WbNe2xh7qR,irrelevant - marriage
Im engaged (@Faithangel13)              htp://t.co/ucn7ijpXt,irrelevant - marriage
Cant believe Im engaged              #surprised #fianc   #loveit,irrelevant - marriage
I stil cant believe Im engaged. @TomOConel1                 ,irrelevant - marriage
You dont know me @Taylor_Michael3 but Im engaged to @KatieDunzo and Ive heard a lot about you and youre now my favorite #MLB player,irrelevant - marriage
Its true Im engaged          htp://t.co/Xr95ZMY4Ue,irrelevant - marriage
Bitches Be Like "Im Engaged. I Love My Man He Beat My As Put Me Out Cheat Hit My Kids Take My Phone      Were So In Love"              ,irrelevant - new home purchase
Ctfu I ben teling these nigas Im engaged I aint got time     ,irrelevant - marriage
RT @MegVaMe: "I got you a plate of cake"  So guys loks like Im engaged now.,irrelevant - marriage
@rody_edelstien *smiles* I havent had time to tel gil but Im engaged ti,irrelevant - marriage
@RobinEremuw  Im 17  and unlok cute and Im girl nut Im engaged,irrelevant - marriage
Guys its oficial. Im engaged to Rodrigo htp://t.co/coxHVu445R,irrelevant - marriage
@TheMaiaMitch big news: bitch im engaged,irrelevant - marriage
IM ENGAGED As of yesterday :),irrelevant - marriage
Im engaged,irrelevant - marriage
Im engaged to Iris,irrelevant - marriage
Im engaged      @dede_suton14,irrelevant - marriage
now its going to lok like Im engaged it got stuck on the wrong finger,irrelevant - marriage
Im gona pretend Im engaged and start making apointments at bakerys just so I can have fre cake tastings.,irrelevant - marriage
@Ketchup_Mikachu Im engaged,irrelevant - marriage
Got asked out twice at Godwil... One of them asked if it maters that Im engaged      #goaway,irrelevant - marriage
Delighted to anounce Im engaged to @ForeverYoung78_. Wil be loking for bits on the side though so send in your CV and Il consider you.,irrelevant - marriage
RT @TwinoEma: Dude a guy cant subtwet me pased 11pm. Im engaged lol  RT"@seru25: What started this bef btn Twino &amp; Sera",irrelevant - marriage
Dude a guy cant subtwet me pased 11pm. Im engaged lol  RT"@seru25: What started this bef btn Twino &amp; Sera",irrelevant - marriage
@FancyHairDoctor Im engaged to one of your counterparts.,irrelevant - marriage
"@BatmansWriter: @FuzyTerBear Hes the creature of my night."  guys Im engaged stahp youre embarasing me,irrelevant - marriage
@TrenchcoatDoc Thats okay Im engaged to one of your counterparts.,irrelevant - marriage
@IgnorantAF  Im engaged lol and in colege htp://t.co/zfht37ZNjC,irrelevant - marriage
@TrenchcoatDoc Im not realy going to do it Doc. Im engaged.,irrelevant - marriage
Im Engaged             ,irrelevant - marriage
Anonymous said: Im engaged but am thinking about cheating. htp://t.co/jOHtzHw0mk,irrelevant - marriage
So like Im engaged ^.^ it hasnt hit me yet,irrelevant - marriage
RT @wiIdflouwers: Im engaged holy htp://t.co/NAOESUVFjv,irrelevant - marriage
Im engaged holy htp://t.co/NAOESUVFjv,irrelevant - marriage
changed bio... Im engaged now,irrelevant - marriage
Anonymous said: Im engaged but am thinking about cheating. htp://t.co/YRV6lm8U1i,irrelevant - marriage
Stil cant believe it. Im engaged #engagement #cute #awesome,irrelevant - marriage
Im engaged                #helikedit #soheputaringonit htp://t.co/AuCrCG3iS1,irrelevant - marriage
RT @EbonyPornVideos: Anonymous said: Im engaged but am thinking about cheating. htp://t.co/ZUQ4uFdXOF,irrelevant - marriage
Anonymous said: Im engaged but am thinking about cheating. htp://t.co/ZUQ4uFdXOF,irrelevant - marriage
Anonymous said: Im engaged but am thinking about cheating. htp://t.co/tbLSIJ1kzk,irrelevant - marriage
Anonymous said: Im engaged but am thinking about cheating. htp://t.co/R0Z20S74Ee,irrelevant - marriage
RT @BlackThots: Anonymous said: Im engaged but am thinking about cheating. htp://t.co/LoJYFxAbBd,irrelevant - marriage
Sent a broadcast that Im engaged. People kept caling to congratulate and ask questions. I had no idea what had hapened. #Pranks,irrelevant - marriage
Anonymous said: Im engaged but am thinking about cheating. htp://t.co/lByocw2Qa0,irrelevant - marriage
Anonymous said: Im engaged but am thinking about cheating. htp://t.co/LoJYFxAbBd,irrelevant - marriage
Im engaged guys         ,irrelevant - marriage
@Crowleypants Im engaged though,irrelevant - marriage
Girls What kinds of um... Qualities u want in the Guy u want to mary: Im engaged and i Read More,irrelevant - marriage
@Many521 sory Im engaged,irrelevant - marriage
Photo: I   m Engaged htp://t.co/506VJhpw3a,irrelevant - marriage
Im Engaged htp://t.co/ur4fd58p9H,irrelevant - marriage
In one taged facebok picture with a boy and sudenly I swear my family thinks Im engaged,irrelevant - marriage
IM ENGAGED,irrelevant - marriage
Im engaged to Klaus noboy scares me. *laughs and taps @LadyStaceyWyats nose* Youre safe with me.,irrelevant - marriage
@SarahDugers I think thats the number I lost when I said Im engaged,irrelevant - marriage
@LyleLovet @thenotabeauty @duchesgoldblat So does that mean Im engaged to a Duches... ah royalty.,irrelevant - marriage
Buzfed thinks Im engaged....absolutely not,irrelevant - marriage
Frankly im engaged and son to be maried.. helo.,irrelevant - marriage
@insanevanity_ but im engaged with him,irrelevant - marriage
Bitches be like "I dont do relationships". Known a guy for a month...  #picture "Im engaged    " Oh yeah you dont do relationships huh,irrelevant - marriage
RT @charstarlene: IM ENGAGED In ilegal activity,irrelevant - marriage
im engaged to be alone,irrelevant - marriage
Was asked multiple times this past wek if Im engaged. To clear that up NO Im not. Sily misunderstanding @ecarp_ @sydneyhayes,irrelevant - marriage
Aw.. The guy in front of me paid for my #starbucks       but.... Im engaged. #sory         ,irrelevant - marriage
@colegeKid18 luckily 4 everyone Im engaged     ,irrelevant - marriage
@RubyChan228 @tetsuowl Yeah I   m engaged acording to that quiz    Also I had to gues what PDA is.,irrelevant - marriage
Im engaged              htp://t.co/RQ148q9Cjw,irrelevant - marriage
RT @CourteneyCox: I   m engaged to him htp://t.co/gsFtZkb3Bk,irrelevant - marriage
RT @Georgehoney2: So hapy Im engaged to my beautiful baby mother,irrelevant - marriage
So hapy Im engaged to my beautiful baby mother,irrelevant - marriage
Im engaged guys     ,irrelevant - marriage
RT @Melodic527: Im engaged to a woman whos in love with herself #somethingnew #waitonit #artist,irrelevant - marriage
@Erin1157 Im engaged in a similar activity.,irrelevant - marriage
Why does everyone sudenly think Im engaged I have al my family uploading congrats status and several mesages,irrelevant - marriage
Story of my life. Everyone thinks Im engaged lol. Litle do they know      htp://t.co/SB5zwRSFqG,irrelevant - marriage
@amazingbalz haha yes Im engaged already. :D,irrelevant - marriage
A data bok with a chapter title: Death by a Thousand Mehs. I   m engaged already #Dataclysm,irrelevant - marriage
RT @Ata_Sarwar: Plot Twist = Im Engaged ,irrelevant - marriage
Im engaged to my best friend This wekend was amazing. It was wonderful having my family with us    htp://t.co/V8AgOdTayl,irrelevant - marriage
My idiot friend told me the game was going to start at 9 p.m. Times like these Im glad Im engaged to someone whos into fotbal.,irrelevant - marriage
Its oficial. Im a doctor Also oficial Im engaged What a great wekend #Calmedoctor #Isaidyes,irrelevant - marriage
Hahaha @Buzfed thinks Im engaged htp://t.co/z139gDWKv2 ... ha ha ... ha ... :),irrelevant - marriage
Damn I want Shailene to write a spech and anounce it at my weding,irrelevant - marriage
